dthr,indicativo,lat,lon
2023-11-15 18:22:59.000,PRBBC,-23.61087159001373,-46.624287901311924
2023-11-15 18:23:03.000,PRBBC,-23.61035595274841,-46.62287060313167
2023-11-15 18:23:07.000,PRBBC,-23.609326385625934,-46.6198140203092
2023-11-15 18:23:11.000,PRBBC,-23.608452192646322,-46.61749511557573
2023-11-15 18:23:15.000,PRBBC,-23.60766849229936,-46.61536746071718
2023-11-15 18:23:19.000,PRBBC,-23.606766980789136,-46.6130485559837
2023-11-15 18:23:23.000,PRBBC,-23.605952547095235,-46.61066134772347
2023-11-15 18:23:27.000,PRBBC,-23.60519616527889,-46.60842440722211
2023-11-15 18:23:31.000,PRBBC,-23.604407342707443,-46.60591766779005
2023-11-15 18:23:35.000,PRBBC,-23.603485342299255,-46.6034928925901
2023-11-15 18:23:39.000,PRBBC,-23.60272383825842,-46.60123546103071
2023-11-15 18:23:43.000,PRBBC,-23.601907697156356,-46.59873555195133
2023-11-15 18:23:47.000,PRBBC,-23.601038626401234,-46.59623564287194
2023-11-15 18:23:51.000,PRBBC,-23.60042225205428,-46.593886001551425
2023-11-15 18:23:55.000,PRBBC,-23.59967099246242,-46.59136560141401
2023-11-15 18:23:59.000,PRBBC,-23.598759236503216,-46.5888178798659
2023-11-15 18:24:03.000,PRBBC,-23.598276039993,-46.58742790309635
2023-11-15 18:24:07.000,PRBBC,-23.59749916927869,-46.58491774848795
2023-11-15 18:24:11.000,PRBBC,-23.595352957217415,-46.58152647838436
2023-11-15 18:24:15.000,PRBBC,-23.59500976817659,-46.580006724913964
2023-11-15 18:24:19.000,PRBBC,-23.593910197319417,-46.57753072206895
2023-11-15 18:24:23.000,PRBBC,-23.595142946013326,-46.57331980964425
2023-11-15 18:24:27.000,PRBBC,-23.595610775850073,-46.57050228916543
2023-11-15 18:24:31.000,PRBBC,-23.595503209135785,-46.567674523157606
2023-11-15 18:24:35.000,PRBBC,-23.595475890605172,-46.564833096444424
2023-11-15 18:24:39.000,PRBBC,-23.595337590543945,-46.563255284976286
2023-11-15 18:24:43.000,PRBBC,-23.59528295348272,-46.56051972872958
2023-11-15 18:24:47.000,PRBBC,-23.595230023829654,-46.55779783318823
2023-11-15 18:24:51.000,PRBBC,-23.594451445707186,-46.55544477669138
2023-11-15 18:24:55.000,PRBBC,-23.59416801595208,-46.55278435432411
